"Global Code","Global Name","Region Code","Region Name","Sub-region Code","Sub-region Name","Intermediate Region Code","Intermediate Region Name","Country or Area","M49 Code","ISO-alpha3 Code","Least Developed Countries (LDC)","Land Locked Developing Countries (LLDC)","Small Island Developing States (SIDS)","Developed / Developing Countries"
"001","Monde","002","Afrique","015","Afrique septentrionale","","","Algérie","012","DZA","","","","Developing"
"001","Monde","002","Afrique","015","Afrique septentrionale","","","Égypte","818","EGY","","","","Developing"
"001","Monde","002","Afrique","015","Afrique septentrionale","","","Libye","434","LBY","","","","Developing"
"001","Monde","002","Afrique","015","Afrique septentrionale","","","Maroc","504","MAR","","","","Developing"
"001","Monde","002","Afrique","015","Afrique septentrionale","","","Sahara occidental","732","ESH","","","","Developing"
"001","Monde","002","Afrique","015","Afrique septentrionale","","","Soudan","729","SDN","x","","","Developing"
"001","Monde","002","Afrique","015","Afrique septentrionale","","","Tunisie","788","TUN","","","","Developing"
"001","Monde","002","Afrique","202","Afrique subsaharienne","","","Botswana","072","BWA","","x","","Developing"
"001","Monde","002","Afrique","202","Afrique subsaharienne","","","Lesotho","426","LSO","x","x","","Developing"
"001","Monde","002","Afrique","202","Afrique subsaharienne","","","Namibie","516","NAM","","","","Developing"
"001","Monde","002","Afrique","202","Afrique subsaharienne","","","Afrique du Sud","710","ZAF","","","","Developing"
"001","Monde","002","Afrique","202","Afrique subsaharienne","","","Swaziland","748","SWZ","","x","","Developing"
"001","Monde","002","Afrique","202","Afrique subsaharienne","","","Angola","024","AGO","x","","","Developing"
"001","Monde","002","Afrique","202","Afrique subsaharienne","","","Cameroun","120","CMR","","","","Developing"
"001","Monde","002","Afrique","202","Afrique subsaharienne","","","République centrafricaine","140","CAF","x","x","","Developing"
"001","Monde","002","Afrique","202","Afrique subsaharienne","","","Tchad","148","TCD","x","x","","Developing"
"001","Monde","002","Afrique","202","Afrique subsaharienne","","","Congo","178","COG","","","","Developing"
"001","Monde","002","Afrique","202","Afrique subsaharienne","","","République démocratique du Congo","180","COD","x","","","Developing"
"001","Monde","002","Afrique","202","Afrique subsaharienne","","","Guinée équatoriale","226","GNQ","x","","","Developing"
"001","Monde","002","Afrique","202","Afrique subsaharienne","","","Gabon","266","GAB","","","","Developing"
"001","Monde","002","Afrique","202","Afrique subsaharienne","","","Sao Tomé-et-Principe","678","STP","x","","x","Developing"
"001","Monde","002","Afrique","202","Afrique subsaharienne","","","Bénin","204","BEN","x","","","Developing"
"001","Monde","002","Afrique","202","Afrique subsaharienne","","","Burkina Faso","854","BFA","x","x","","Developing"
"001","Monde","002","Afrique","202","Afrique subsaharienne","","","Cabo Verde","132","CPV","","","x","Developing"
"001","Monde","002","Afrique","202","Afrique subsaharienne","","","Côte d'Ivoire","384","CIV","","","","Developing"
"001","Monde","002","Afrique","202","Afrique subsaharienne","","","Gambie","270","GMB","x","","","Developing"
"001","Monde","002","Afrique","202","Afrique subsaharienne","","","Ghana","288","GHA","","","","Developing"
"001","Monde","002","Afrique","202","Afrique subsaharienne","","","Guinée","324","GIN","x","","","Developing"
"001","Monde","002","Afrique","202","Afrique subsaharienne","","","Guinée-Bissau","624","GNB","x","","x","Developing"
"001","Monde","002","Afrique","202","Afrique subsaharienne","","","Libéria","430","LBR","x","","","Developing"
"001","Monde","002","Afrique","202","Afrique subsaharienne","","","Mali","466","MLI","x","x","","Developing"
"001","Monde","002","Afrique","202","Afrique subsaharienne","","","Mauritanie","478","MRT","x","","","Developing"
"001","Monde","002","Afrique","202","Afrique subsaharienne","","","Niger","562","NER","x","x","","Developing"
"001","Monde","002","Afrique","202","Afrique subsaharienne","","","Nigéria","566","NGA","","","","Developing"
"001","Monde","002","Afrique","202","Afrique subsaharienne","","","Sainte-Hélène","654","SHN","","","","Developing"
"001","Monde","002","Afrique","202","Afrique subsaharienne","","","Sénégal","686","SEN","x","","","Developing"
"001","Monde","002","Afrique","202","Afrique subsaharienne","","","Sierra Leone","694","SLE","x","","","Developing"
"001","Monde","002","Afrique","202","Afrique subsaharienne","","","Togo","768","TGO","x","","","Developing"
